residue,next_residue,weight_tau_capped_R,tau_exact,next_index
1,1,2,2,0
3,5,1,1,2
5,1,4,4,0
7,11,1,1,5
9,7,2,2,3
11,17,1,1,8
13,5,3,3,2
15,23,1,1,11
17,13,2,2,6
19,29,1,1,14
21,1,6,6,0
23,35,1,1,17
25,19,2,2,9
27,41,1,1,20
29,11,3,3,5
31,47,1,1,23
33,25,2,2,12
35,53,1,1,26
37,7,4,4,3
39,59,1,1,29
41,31,2,2,15
43,65,1,1,32
45,17,3,3,8
47,71,1,1,35
49,37,2,2,18
51,77,1,1,38
53,5,5,5,2
55,83,1,1,41
57,43,2,2,21
59,89,1,1,44
61,23,3,3,11
63,95,1,1,47
65,49,2,2,24
67,101,1,1,50
69,13,4,4,6
71,107,1,1,53
73,55,2,2,27
75,113,1,1,56
77,29,3,3,14
79,119,1,1,59
81,61,2,2,30
83,125,1,1,62
85,1,8,8,0
87,131,1,1,65
89,67,2,2,33
91,137,1,1,68
93,35,3,3,17
95,143,1,1,71
97,73,2,2,36
99,149,1,1,74
101,19,4,4,9
103,155,1,1,77
105,79,2,2,39
107,161,1,1,80
109,41,3,3,20
111,167,1,1,83
113,85,2,2,42
115,173,1,1,86
117,11,5,5,5
119,179,1,1,89
121,91,2,2,45
123,185,1,1,92
125,47,3,3,23
127,191,1,1,95
129,97,2,2,48
131,197,1,1,98
133,25,4,4,12
135,203,1,1,101
137,103,2,2,51
139,209,1,1,104
141,53,3,3,26
143,215,1,1,107
145,109,2,2,54
147,221,1,1,110
149,7,6,6,3
151,227,1,1,113
153,115,2,2,57
155,233,1,1,116
157,59,3,3,29
159,239,1,1,119
161,121,2,2,60
163,245,1,1,122
165,31,4,4,15
167,251,1,1,125
169,127,2,2,63
171,257,1,1,128
173,65,3,3,32
175,263,1,1,131
177,133,2,2,66
179,269,1,1,134
181,17,5,5,8
183,275,1,1,137
185,139,2,2,69
187,281,1,1,140
189,71,3,3,35
191,287,1,1,143
193,145,2,2,72
195,293,1,1,146
197,37,4,4,18
199,299,1,1,149
201,151,2,2,75
203,305,1,1,152
205,77,3,3,38
207,311,1,1,155
209,157,2,2,78
211,317,1,1,158
213,5,7,7,2
215,323,1,1,161
217,163,2,2,81
219,329,1,1,164
221,83,3,3,41
223,335,1,1,167
225,169,2,2,84
227,341,1,1,170
229,43,4,4,21
231,347,1,1,173
233,175,2,2,87
235,353,1,1,176
237,89,3,3,44
239,359,1,1,179
241,181,2,2,90
243,365,1,1,182
245,23,5,5,11
247,371,1,1,185
249,187,2,2,93
251,377,1,1,188
253,95,3,3,47
255,383,1,1,191
257,193,2,2,96
259,389,1,1,194
261,49,4,4,24
263,395,1,1,197
265,199,2,2,99
267,401,1,1,200
269,101,3,3,50
271,407,1,1,203
273,205,2,2,102
275,413,1,1,206
277,13,6,6,6
279,419,1,1,209
281,211,2,2,105
283,425,1,1,212
285,107,3,3,53
287,431,1,1,215
289,217,2,2,108
291,437,1,1,218
293,55,4,4,27
295,443,1,1,221
297,223,2,2,111
299,449,1,1,224
301,113,3,3,56
303,455,1,1,227
305,229,2,2,114
307,461,1,1,230
309,29,5,5,14
311,467,1,1,233
313,235,2,2,117
315,473,1,1,236
317,119,3,3,59
319,479,1,1,239
321,241,2,2,120
323,485,1,1,242
325,61,4,4,30
327,491,1,1,245
329,247,2,2,123
331,497,1,1,248
333,125,3,3,62
335,503,1,1,251
337,253,2,2,126
339,509,1,1,254
341,1,10,10,0
343,515,1,1,257
345,259,2,2,129
347,521,1,1,260
349,131,3,3,65
351,527,1,1,263
353,265,2,2,132
355,533,1,1,266
357,67,4,4,33
359,539,1,1,269
361,271,2,2,135
363,545,1,1,272
365,137,3,3,68
367,551,1,1,275
369,277,2,2,138
371,557,1,1,278
373,35,5,5,17
375,563,1,1,281
377,283,2,2,141
379,569,1,1,284
381,143,3,3,71
383,575,1,1,287
385,289,2,2,144
387,581,1,1,290
389,73,4,4,36
391,587,1,1,293
393,295,2,2,147
395,593,1,1,296
397,149,3,3,74
399,599,1,1,299
401,301,2,2,150
403,605,1,1,302
405,19,6,6,9
407,611,1,1,305
409,307,2,2,153
411,617,1,1,308
413,155,3,3,77
415,623,1,1,311
417,313,2,2,156
419,629,1,1,314
421,79,4,4,39
423,635,1,1,317
425,319,2,2,159
427,641,1,1,320
429,161,3,3,80
431,647,1,1,323
433,325,2,2,162
435,653,1,1,326
437,41,5,5,20
439,659,1,1,329
441,331,2,2,165
443,665,1,1,332
445,167,3,3,83
447,671,1,1,335
449,337,2,2,168
451,677,1,1,338
453,85,4,4,42
455,683,1,1,341
457,343,2,2,171
459,689,1,1,344
461,173,3,3,86
463,695,1,1,347
465,349,2,2,174
467,701,1,1,350
469,11,7,7,5
471,707,1,1,353
473,355,2,2,177
475,713,1,1,356
477,179,3,3,89
479,719,1,1,359
481,361,2,2,180
483,725,1,1,362
485,91,4,4,45
487,731,1,1,365
489,367,2,2,183
491,737,1,1,368
493,185,3,3,92
495,743,1,1,371
497,373,2,2,186
499,749,1,1,374
501,47,5,5,23
503,755,1,1,377
505,379,2,2,189
507,761,1,1,380
509,191,3,3,95
511,767,1,1,383
513,385,2,2,192
515,773,1,1,386
517,97,4,4,48
519,779,1,1,389
521,391,2,2,195
523,785,1,1,392
525,197,3,3,98
527,791,1,1,395
529,397,2,2,198
531,797,1,1,398
533,25,6,6,12
535,803,1,1,401
537,403,2,2,201
539,809,1,1,404
541,203,3,3,101
543,815,1,1,407
545,409,2,2,204
547,821,1,1,410
549,103,4,4,51
551,827,1,1,413
553,415,2,2,207
555,833,1,1,416
557,209,3,3,104
559,839,1,1,419
561,421,2,2,210
563,845,1,1,422
565,53,5,5,26
567,851,1,1,425
569,427,2,2,213
571,857,1,1,428
573,215,3,3,107
575,863,1,1,431
577,433,2,2,216
579,869,1,1,434
581,109,4,4,54
583,875,1,1,437
585,439,2,2,219
587,881,1,1,440
589,221,3,3,110
591,887,1,1,443
593,445,2,2,222
595,893,1,1,446
597,7,8,8,3
599,899,1,1,449
601,451,2,2,225
603,905,1,1,452
605,227,3,3,113
607,911,1,1,455
609,457,2,2,228
611,917,1,1,458
613,115,4,4,57
615,923,1,1,461
617,463,2,2,231
619,929,1,1,464
621,233,3,3,116
623,935,1,1,467
625,469,2,2,234
627,941,1,1,470
629,59,5,5,29
631,947,1,1,473
633,475,2,2,237
635,953,1,1,476
637,239,3,3,119
639,959,1,1,479
641,481,2,2,240
643,965,1,1,482
645,121,4,4,60
647,971,1,1,485
649,487,2,2,243
651,977,1,1,488
653,245,3,3,122
655,983,1,1,491
657,493,2,2,246
659,989,1,1,494
661,31,6,6,15
663,995,1,1,497
665,499,2,2,249
667,1001,1,1,500
669,251,3,3,125
671,1007,1,1,503
673,505,2,2,252
675,1013,1,1,506
677,127,4,4,63
679,1019,1,1,509
681,511,2,2,255
683,1025,1,1,512
685,257,3,3,128
687,1031,1,1,515
689,517,2,2,258
691,1037,1,1,518
693,65,5,5,32
695,1043,1,1,521
697,523,2,2,261
699,1049,1,1,524
701,263,3,3,131
703,1055,1,1,527
705,529,2,2,264
707,1061,1,1,530
709,133,4,4,66
711,1067,1,1,533
713,535,2,2,267
715,1073,1,1,536
717,269,3,3,134
719,1079,1,1,539
721,541,2,2,270
723,1085,1,1,542
725,17,7,7,8
727,1091,1,1,545
729,547,2,2,273
731,1097,1,1,548
733,275,3,3,137
735,1103,1,1,551
737,553,2,2,276
739,1109,1,1,554
741,139,4,4,69
743,1115,1,1,557
745,559,2,2,279
747,1121,1,1,560
749,281,3,3,140
751,1127,1,1,563
753,565,2,2,282
755,1133,1,1,566
757,71,5,5,35
759,1139,1,1,569
761,571,2,2,285
763,1145,1,1,572
765,287,3,3,143
767,1151,1,1,575
769,577,2,2,288
771,1157,1,1,578
773,145,4,4,72
775,1163,1,1,581
777,583,2,2,291
779,1169,1,1,584
781,293,3,3,146
783,1175,1,1,587
785,589,2,2,294
787,1181,1,1,590
789,37,6,6,18
791,1187,1,1,593
793,595,2,2,297
795,1193,1,1,596
797,299,3,3,149
799,1199,1,1,599
801,601,2,2,300
803,1205,1,1,602
805,151,4,4,75
807,1211,1,1,605
809,607,2,2,303
811,1217,1,1,608
813,305,3,3,152
815,1223,1,1,611
817,613,2,2,306
819,1229,1,1,614
821,77,5,5,38
823,1235,1,1,617
825,619,2,2,309
827,1241,1,1,620
829,311,3,3,155
831,1247,1,1,623
833,625,2,2,312
835,1253,1,1,626
837,157,4,4,78
839,1259,1,1,629
841,631,2,2,315
843,1265,1,1,632
845,317,3,3,158
847,1271,1,1,635
849,637,2,2,318
851,1277,1,1,638
853,5,9,9,2
855,1283,1,1,641
857,643,2,2,321
859,1289,1,1,644
861,323,3,3,161
863,1295,1,1,647
865,649,2,2,324
867,1301,1,1,650
869,163,4,4,81
871,1307,1,1,653
873,655,2,2,327
875,1313,1,1,656
877,329,3,3,164
879,1319,1,1,659
881,661,2,2,330
883,1325,1,1,662
885,83,5,5,41
887,1331,1,1,665
889,667,2,2,333
891,1337,1,1,668
893,335,3,3,167
895,1343,1,1,671
897,673,2,2,336
899,1349,1,1,674
901,169,4,4,84
903,1355,1,1,677
905,679,2,2,339
907,1361,1,1,680
909,341,3,3,170
911,1367,1,1,683
913,685,2,2,342
915,1373,1,1,686
917,43,6,6,21
919,1379,1,1,689
921,691,2,2,345
923,1385,1,1,692
925,347,3,3,173
927,1391,1,1,695
929,697,2,2,348
931,1397,1,1,698
933,175,4,4,87
935,1403,1,1,701
937,703,2,2,351
939,1409,1,1,704
941,353,3,3,176
943,1415,1,1,707
945,709,2,2,354
947,1421,1,1,710
949,89,5,5,44
951,1427,1,1,713
953,715,2,2,357
955,1433,1,1,716
957,359,3,3,179
959,1439,1,1,719
961,721,2,2,360
963,1445,1,1,722
965,181,4,4,90
967,1451,1,1,725
969,727,2,2,363
971,1457,1,1,728
973,365,3,3,182
975,1463,1,1,731
977,733,2,2,366
979,1469,1,1,734
981,23,7,7,11
983,1475,1,1,737
985,739,2,2,369
987,1481,1,1,740
989,371,3,3,185
991,1487,1,1,743
993,745,2,2,372
995,1493,1,1,746
997,187,4,4,93
999,1499,1,1,749
1001,751,2,2,375
1003,1505,1,1,752
1005,377,3,3,188
1007,1511,1,1,755
1009,757,2,2,378
1011,1517,1,1,758
1013,95,5,5,47
1015,1523,1,1,761
1017,763,2,2,381
1019,1529,1,1,764
1021,383,3,3,191
1023,1535,1,1,767
1025,769,2,2,384
1027,1541,1,1,770
1029,193,4,4,96
1031,1547,1,1,773
1033,775,2,2,387
1035,1553,1,1,776
1037,389,3,3,194
1039,1559,1,1,779
1041,781,2,2,390
1043,1565,1,1,782
1045,49,6,6,24
1047,1571,1,1,785
1049,787,2,2,393
1051,1577,1,1,788
1053,395,3,3,197
1055,1583,1,1,791
1057,793,2,2,396
1059,1589,1,1,794
1061,199,4,4,99
1063,1595,1,1,797
1065,799,2,2,399
1067,1601,1,1,800
1069,401,3,3,200
1071,1607,1,1,803
1073,805,2,2,402
1075,1613,1,1,806
1077,101,5,5,50
1079,1619,1,1,809
1081,811,2,2,405
1083,1625,1,1,812
1085,407,3,3,203
1087,1631,1,1,815
1089,817,2,2,408
1091,1637,1,1,818
1093,205,4,4,102
1095,1643,1,1,821
